NIVEL,COD_CURSO,NOME_CURSO,TURNO,QTDE_MATRICULADO
Ensino Superior-Grad.Regular-Coari,IS01,Nutrição,Diurno,37
Ensino Superior-Grad.Regular-Coari,IS02,Biotecnologia,Diurno,21
Ensino Superior-Grad.Regular-Coari,IS03,Fisioterapia,Diurno,41
Ensino Superior-Grad.Regular-Coari,IS04,Enfermagem,Diurno,40
Ensino Superior-Grad.Regular-Coari,IS05,Ciências - Matemática e Física,Vespertino/Noturno,36
Ensino Superior-Grad.Regular-Coari,IS06,Ciências - Biologia e Química,Diurno,46
Ensino Superior-Grad.Regular-Coari,IS07,Medicina,Diurno,3
Ensino Superior-Grad.Regular-Humaitá,IA01,Agronomia,Diurno,43
Ensino Superior-Grad.Regular-Humaitá,IA02,Engenharia Ambiental,Diurno,29
Ensino Superior-Grad.Regular-Humaitá,IA03,Ciências - Biologia e Química,Diurno,32
Ensino Superior-Grad.Regular-Humaitá,IA04,Pedagogia,Diurno,50
Ensino Superior-Grad.Regular-Humaitá,IA05,Letras - Língua Portuguesa e Língua Inglesa,Diurno,37
Ensino Superior-Grad.Regular-Humaitá,IA06,Ciências - Matemática e Física,Diurno,18
Ensino Superior-Grad.Regular-Itacoatiara,IT01,Sistemas de Informação,Noturno,35
Ensino Superior-Grad.Regular-Itacoatiara,IT02,Farmácia,Diurno,46
Ensino Superior-Grad.Regular-Itacoatiara,IT03,Engenharia de Produção,Diurno,35
Ensino Superior-Grad.Regular-Itacoatiara,IT04,Ciências - Matemática e Física,Noturno,37
Ensino Superior-Grad.Regular-Itacoatiara,IT05,Ciências - Química e Biologia,Integral (Matutino e Vespertino),39
Ensino Superior-Grad.Regular-Itacoatiara,IT06,Química Industrial,Diurno,23
Ensino Superior-Grad.Regular-Itacoatiara,IT16,Engenharia de Software,Diurno,50
Ensino Superior-Grad.Regular-Itacoatiara,IT17,Engenharia Sanitária,Diurno,29
Ensino Superior-Grad.Regular-Itacoatiara,IT18,Agronomia,Diurno,44
Ensino Superior-Grad.Regular-Parintins,IP01,Administração,Noturno,56
Ensino Superior-Grad.Regular-Parintins,IP02,Comunicação Social - Jornalismo,Noturno,35
Ensino Superior-Grad.Regular-Parintins,IP03,Educação Física,Diurno,50
Ensino Superior-Grad.Regular-Parintins,IP04,Pedagogia,Matutino,45
Ensino Superior-Grad.Regular-Parintins,IP05,Serviço Social,Diurno,45
Ensino Superior-Grad.Regular-Parintins,IP06,Zootecnia,Diurno,37
Ensino Superior-Grad.Regular-Parintins,IP07,Artes Visuais,Noturno,22
